Index,Title,Description,Area of News
0,"भास्कर एक्सक्लूसिवकोलकाता रेप-मर्डर केस…आरोपी की वकील बोलीं- वो कुछ छिपा रहा: CCTV फुटेज गुनाह का पक्का सबूत नहीं, CBI सपोर्ट नहीं कर रही",,
1,"भास्कर एक्सक्लूसिवकोलकाता रेप-मर्डर केस…आरोपी की वकील बोलीं- वो कुछ छिपा रहा: CCTV फुटेज गुनाह का पक्का सबूत नहीं, CBI सपोर्ट नहीं कर रही",,
2,"केदारनाथ में एयरलिफ्ट किया जा रहा हेलिकॉप्टर गिरा: दूसरे हेलिकॉप्टर से लटकाया गया था, हवा में बैलेंस बिगड़ा तो पायलट ने ड्रॉप कर दिया",,
3,"केदारनाथ में एयरलिफ्ट किया जा रहा हेलिकॉप्टर गिरा: दूसरे हेलिकॉप्टर से लटकाया गया था, हवा में बैलेंस बिगड़ा तो पायलट ने ड्रॉप कर दिया",,
4,"भास्कर एक्सप्लेनर- मौलवी के पास शादी का रजिस्ट्रेशन जरूरी नहीं: असम का नया मुस्लिम मैरिज बिल क्या है, जिसका विरोध कर रहा मुस्लिम समुदाय",,
5,"भास्कर एक्सप्लेनर- मौलवी के पास शादी का रजिस्ट्रेशन जरूरी नहीं: असम का नया मुस्लिम मैरिज बिल क्या है, जिसका विरोध कर रहा मुस्लिम समुदाय",,
6,"कंगना बोलीं- मेरी फिल्म इमरजेंसी पर रोक: 6 सितंबर को रिलीज होनी थी; एक्ट्रेस बोलीं- सर्टिफिकेट नहीं मिला, सेंसर बोर्ड वालों को धमकियां मिल रहीं",,
7,"देश का मानसून ट्रैकर: गुजरात में बाढ़, मानसून सीजन में औसत से 50% ज्यादा बारिश; हिमाचल में लैंडस्लाइड से 40 सड़कें बंद",,
8,"ममता के दूसरे लेटर पर केंद्र का जवाब: रेप मामलों में फांसी का प्रावधान पहले से है, ममता ने कड़े कानून बनाने की मांग की थी",,
9,"स्पॉटलाइट- मोहम्मद बिन सलमान की कहानी: सऊदी क्राउन प्रिंस जिसने परिवार के लोगों को आलीशान होटल में कैद कर ‘टॉर्चर किया’, चर्चित किस्से",,
10,"एक्ट्रेस जिसने हथौड़े से बॉयफ्रेंड का सिर फोड़ा: पति के सामने ही प्रेमी की हत्या कर दी, अगले दिन खुद पुलिस स्टेशन पहुंची",,
11,मॉर्निंग न्यूज ब्रीफ: महाराष्ट्र में मोदी बोले- मैं माफी मांगता हूं; ममता की मोदी को फिर चिट्ठी; एक UPI अकाउंट से 5 लोग पेमेंट कर सकेंगे,,
12,कोलकाता रेप-मर्डर; विरोध करने वाला छात्र रिहा: हाईकोर्ट बोला- गिरफ्तारी सही नहीं; बंगाल में केंद्र के खिलाफ TMC का प्रदर्शन आज,,
13,"BCCI इम्पैक्ट प्लेयर, 2 बाउंसर नियमों का रिव्यू करेगा: दोनों नियम सिर्फ IPL में लागू, नवंबर से डोमेस्टिक क्रिकेट में भी लाने की तैयारी",,
14,"एक UPI अकाउंट से 5 लोग कर सकेंगे पेमेंट: सरकार ने लॉन्च किया UPI सर्किल, इसमें एक महीने में ₹15,000 तक ट्रांजैक्शन की लिमिट",,
15,"पतंजलि के मंजन में नॉनवेज मटेरियल होने का दावा: दिल्ली हाईकोर्ट में याचिका लगाई, कोर्ट ने रामदेव से जवाब मांगा",,
16,"पुतिन जाएंगे मंगोलिया, सवाल- क्या उनकी गिरफ्तारी होगी: इंटरनेशनल कोर्ट ने कार्रवाई का आदेश दिया, रूस ने कहा- हमें फिक्र नहीं",,
17,"सेहतनामा- भोजन, भजन और चिकित्सा तीनों से शहद का रिश्ता: घाव, मुंहासे से दिल-दिमाग तक, सबके लिए लाभकारी, 10 बड़े फायदे",,
18,"राजकुमार राव ने मां की पायल को संभालकर रखा: बोले- वह हमेशा मेरी आंखों के सामने रहती है, स्त्री का जन्मदिन से खास कनेक्शन है",,
19,'बिग बॉस' कंट्रोवर्सी पर बोले अनूप जलोटा...किया कन्यादान: लखनऊ की बेटी को बताया 'आवाज का पटाखा'; भोजपुरी पर कहा- अश्लीलता से बचें,,
20,"जब फेलियर से डील नहीं कर पाए राजेश खन्ना: कहा था- डिंपल को लगा कि पागल हो गया हूं, शराब की लत लग गई थी",,
21,"रिलेशनशिप- क्या आप भी हर छोटी-छोटी बात भूलने लगे हैं कैसे बढ़ाएं मेमोरी, हेल्दी लाइफस्टाइल जरूरी, साइकोलॉजिस्ट के 10 जरूरी सुझाव",,
22,"जरूरत की खबर-5 लोग कर सकेंगे एक UPI का इस्तेमाल: आया नया फीचर UPI सर्किल, बिना बैंक अकाउंट के चलेगा UPI",,
23,"सेहतनामा- क्या धरती से पूरी तरह खत्म हो जाएंगे पुरुष: मेल जेंडर के लिए जरूरी Y क्रोमोजोम विलुप्ति की ओर, क्या कहती है स्टडी",,
24,"करक्शन के साथ आवेदन फार्म भी कर सकेंगे विड्रो: आज से करें अप्लाई, 6 सितम्बर लास्ट डेट; प्रोग्रामर एग्जाम 27 अक्टूबर को",,
25,"सरकारी नौकरी: झारखंड फील्ड वर्कर भर्ती परीक्षा के लिए आवेदन की आखिरी तारीख आज, 10वीं पास तुरंत करें अप्लाई",,
26,"देश के टॉप 10 डेंटल कॉलेज: लगातार तीसरी बार पहले नंबर पर चेन्नई का सविता इंस्टीट्यूट, जामिया मिलिया इस्लामिया 8वें रैंक पर",,
27,वॉरेन बफेट क्यों रखते हैं 16 लाख करोड़ कैश: सबसे बड़े इन्वेस्टर ने 50 की उम्र के बाद बनाई 99% संपत्ति; नाश्ते में लेते हैं बर्गर और कोक,,
28,"भास्कर एक्सक्लूसिवहरियाणा, जम्मू-कश्मीर में BJP का डाउनफाल RSS के लिए चैलेंज: केरल में बनेगा प्लान- लोकसभा चुनाव में जो हुआ, फिर न हो",,
29,पेपर लीक-5इलाज बिना मां की मौत हुई तो डॉक्‍टरी की ठानी: सरकारी कॉलेज लायक नंबर भी लाया; NEET पेपर लीक से रिक्‍शा चलाने को मजबूर,,
30,"लॉर्ड्स टेस्ट में इंग्लैंड 256 रन से आगे: एटकिंसन और रूट ने लगाई सेंचुरी, फर्नांडो को 5 विकेट; श्रीलंका 196 रन बनाकर ऑलआउट",,
31,26 साल के ऑस्ट्रेलियाई बैटर विल पुकोवस्की का संन्यास: सिर में ज्यादा चोट लगने के कारण फैसला लिया; विंडीज के गैब्रिएल भी रिटायर,,
32,"विमेंस वर्ल्ड कप के बाद टी-20 कप्तानी छोड़ेंगी सोफी डिवाइन: वर्कलोड मैनेज करने के लिए लिया फैसला, वनडे में कप्तानी जारी रखेंगी",,
33,PM मोदी भारत मंडपम पहुंचे: जिला अदालतों की नेशनल कॉन्फ्रेंस का उद्घाटन करेंगे; राष्ट्रपति 1 अगस्त को समापन कार्यक्रम पर भाषण देंगी,,
34,महाराष्ट्र में कांग्रेस ने 2 विधायकों को पार्टी से निकाला: विधान परिषद चुनाव में क्रास वोटिंग की थी; इनमें से एक MLA भाजपा में शामिल,,
35,केरल में RSS की 3 दिन की बैठक शुरू: लोकसभा चुनाव के नतीजे और बांग्लादेश में हिंदुओं की स्थिति पर चर्चा हो सकती है,,
36,"जर्मनी ने 28 अफगानियों को उनके देश वापस भेजा: मदद के लिए 1000 यूरो भी दिए, इन पर कई अपराधों में शामिल होने का आरोप",,
37,"पाकिस्तान की तरफ बढ़ रहा चक्रवात आसना: 65 किमी/घंटा की रफ्तार से चल रही हवाएं, कराची से 170 किमी दूर",,
38,"ऑयल टैंकर पर हूती विद्रोहियों के हमले का वीडियो वायरल: ग्रीस के टैंकर पर एक साथ 6 विस्फोट किए, समुद्र में तेल फैलने का खतरा",,
39,"इस हफ्ते सोने-चांदी में रही तेजी: सोना 543 रुपए बढ़कर 71,958 रुपए पर पहुंचा, चांदी 85,019 रुपए प्रति किलो बिक रही",,
40,"सरकार ने आज से क्रूड ऑयल पर विंडफॉल टैक्स घटाया: ₹2,100 से घटाकर ₹1,850 प्रति मीट्रिक टन किया, डीजल, पेट्रोल और ATF पर छूट बरकरार",,
41,"पेट्रोल-डीजल के दाम में आज कोई बदलाव नहीं: अब एक UPI अकाउंट से 5 लोग कर सकेंगे पेमेंट, अप्रैल-जून तिमाही में GDP ग्रोथ घटकर 6.7%",,
