Index,Title,Description,Area of news,Prediction,Real_Prob,Fake_Prob,Cluster
0,Era of uninterrupted talks with Pakistan over: Jaishankar,"India has received an invitation for PM Modi to attend the SCO heads of government meeting in Pakistan. Foreign Minister Jaishankar stressed the end of uninterrupted dialogue with Pakistan due to terrorism concerns. While India plans to participate, the level of representation is uncertain, influenced by recent terror attacks in Jammu.",India,Fake,0.48762546479701996,0.5123745501041412,0
1,'Factually incorrect ... ': Centre hits back at Mamata Banerjee's second letter to PM Modi,"Union Minister Annapurna Devi responded to CM Mamata Banerjee's call for stricter legislation on rape and murder, emphasizing existing severe laws. Devi criticized West Bengal for not operationalizing additional Fast Track Special Courts despite numerous pending cases. The BJP accused Banerjee of misleading the public amid protests over a recent Kolkata rape-murder case.",India,Fake,0.4967091232538223,0.5032908618450165,0
2,"Fill vacancy with a woman judge, retiring Justice Kohli urges CJI Chandrachud","Justice Hima Kohli, the eighth woman to become a Supreme Court judge, retired after a distinguished 40-year career in law. Her retirement prompted a request to CJI D Y Chandrachud to fill her vacancy with a woman judge. The farewell event echoed the need for increased female representation in the judiciary.",India,Real,0.5076395869255066,0.4923603981733322,0
3,"MCG staffer thrashed over 'affair with scrap vendor's wife' in Gurgaon, dies","In Gurgaon, a sanitation supervisor named Naresh Kumar succumbed to injuries after being allegedly assaulted by a scrap vendor, Ramveer, and his friends, who suspected him of having an affair with Ramveer's wife. Three associates have been arrested, while the main accused is still on the run. The police are continuing their investigation.",City,Real,0.5144809931516647,0.48551902174949646,0
4,Ta-ta Vistara! Merger with Air India set for November 12,"Vistara will merge into Air India on November 12, 2024, as Tata Group moves closer to its vision of a world-class airline with Singapore Airlines. Bookings with Vistara will be redirected to Air India's website, and frequent flyer miles will be merged. Reservations will convert to Air India flight numbers from September in phases.",Business,Fake,0.4649115800857544,0.5350883901119232,0
5,'Her journey has been very...': Manu Bhaker hails Avani Lekhara - Watch,"Indian para shooter Avani Lekhara wins gold in the women's 10m air rifle final at the Paris Paralympics. Her journey is praised by double Olympic medalist Manu Bhaker. Adding to India's accolades, Mona Agarwal won bronze in the same event, and Manish Narwal and Preeti Pal secured medals in men's 10m air pistol and 100-meter T35 events respectively.",Sports,Real,0.5152532905340195,0.4847467392683029,0
6,'I’ll be voting no': Why did Trump reverse his position on Florida's abortion measure?,"Former President Donald Trump has stated he will vote against Florida's Amendment 4, which seeks to expand abortion access. He criticized Florida’s current six-week abortion ban, calling it a mistake. His stance follows backlash from social conservatives, emphasizing the political challenges he faces regarding reproductive rights and his complex position on the issue.",World,Fake,0.490075021982193,0.5099249482154846,0
7,"India: Ready to facilitate peace talks, awaiting Kyiv's request","India maintains its support for Russia-Ukraine peace talks and encourages a mutually acceptable solution. The Indian government will mediate if requested and is cautious about initiating steps. PM Modi has indicated willingness to help resolve the conflict. Even after Zelensky's invite, India's stance remains neutral, seeking feasible formats for peace.",India,Fake,0.4890485554933548,0.51095150411129,0
8,"Open to 'promotion', says Parameshwara amid Karnataka CM-change speculation","Amid legal issues facing Karnataka CM Siddaramaiah, Home Minister G Parameshwara hinted at interest in the top post. This follows cooperation minister KN Rajanna's support for his promotion. Congress plans 'Raj Bhavan Chalo' protest to challenge the governor's decision allowing Siddaramaiah's prosecution in the Mysore Urban Development Authority case. Further legal and political actions are expected.",City,Real,0.5181941390037537,0.48180583119392395,0
9,"Nepalese rapist-killer gets death for Faridabad rape-murder, court calls 2022 crime 'diabolical & dastardly'","A Nepalese man, Manoj Nepali, has been sentenced to death for the brutal rape and murder of a woman in Faridabad in 2022. He was convicted after being identified through CCTV footage. The court described the crime as extremely heinous and noted multiple injuries on the victim, rejecting the defense's circumstantial evidence argument.",City,Fake,0.4856446385383606,0.5143553018569946,0
10,"Rash driving video goes viral, YouTuber Rajat Dalal booked in Gurgaon","Police have booked YouTuber Rajat Dalal after a viral video showed him speeding at over 140kmph on a Faridabad road. The incident, recorded on February 25, prompted public appeals for legal action. Dalal, who has 2.3 lakh followers, admitted to the act and expressed readiness to face consequences if found guilty.",City,Fake,0.4915033280849457,0.5084966868162155,0
11,Will come for 10th Fintech Fest in 2029 too: PM Modi at 5th edition,"At the fifth Global Fintech Fest, Prime Minister Narendra Modi praised fintech's role in democratizing financial services. He urged regulators to intensify efforts against cyber fraud to protect and sustain fintech startups' growth. Highlighting the sector's social impact, Modi also pointed out that fintech innovations have significantly improved financial accessibility and inclusivity across India.",India,Fake,0.47202828526496887,0.5279717147350311,0
12,"Australian woman refuses marriage, man kills her dad, sends body location","Ranjit Singh Kahlon from Nakodar, Jalandhar, killed an elderly person after the man's daughter in Australia refused to marry him. He committed the crime with his nephew and disposed of the body in Pandori village. Later, Kahlon admitted the act, apologized, and revealed the body's location. Both suspects have been arrested.",City,Real,0.5009931325912476,0.49900683760643005,0
13,"BJP-JDS bid to destabilise govt, alleges Siddaramaiah","Karnataka CM Siddaramaiah has accused the BJP and JD(S) of attempting to destabilise his government with 'Operation Kamala', a plan to lure MLAs from rival parties. His remarks follow allegations by Congress MLA Ravi Ganiga that BJP offered Rs 100 crore to entice legislators. Siddaramaiah asserted that Congress's 136 MLAs would not succumb to such offers.",City,Fake,0.4876846969127655,0.5123153030872345,0
14,Champai Soren joins BJP after 40-year JMM stint,"Former Jharkhand CM Champai Soren formally joined BJP after resigning from JMM, his ministerial post, and assembly membership, ending weeks of political drama. Prominent BJP leaders like Shivraj Singh Chouhan and Himanta Biswa Sarma attended the event at Dhurwa Ground, signaling a major shift in Jharkhand's political scenario ahead of the elections.",City,Fake,0.49358685314655304,0.5064131319522858,0
15,"Raleigh sets record for hottest August 29, with 101 degrees","Raleigh has seen a record-breaking temperature of 101 degrees on August 29th, surpassing the previous high set in 1948. The National Weather Service warns of potential evening storms with damaging winds. Highs will drop to the 90s by Friday with isolated storms possible over the weekend. Temperatures may further decrease to the 70s and 50s next week.",World,Fake,0.48206841945648193,0.5179315805435181,0
16,Brazilian supreme court orders suspension of X amid feud with Elon Musk,"Elon Musk's social media platform, X, has been suspended in Brazil by a supreme court justice after Musk refused to appoint a local representative. Internet service providers and app stores have five days to block access, and fines will be imposed for VPN usage. The suspension stems from ongoing disputes over compliance with court orders.",World,Fake,0.4934466481208801,0.5065533518791199,0
17,Jadavpur University student lodges ragging complaint,"A second-year engineering student at Jadavpur University has alleged that seniors from the class of 2024 ragged him on August 2. The victim reported verbal abuse, threats, and coercion. The university's anti-ragging squad is investigating the case after the student expressed feeling unsafe and afraid, highlighting a failure to maintain a ragging-free campus.",City,Fake,0.49389542639255524,0.5061045587062836,0
18,Watch: Planes struggle to land at Fukuoka airport as typhoon Shanshan hits Japan,"Strong winds from Typhoon Shanshan have forced several planes to abort their landings at Fukuoka airport. The storm is anticipated to reach Tokyo this weekend, potentially disrupting travel with numerous flight cancellations and suspended train services. Authorities have issued the highest alert, urging evacuations for over five million people in southern Japan. ​​​ The storm has resulted in at least four deaths, and hundreds of thousands of homes are without power​​.",World,Fake,0.47503499686717987,0.5249649882316589,0
19,Every night a Diwali as villagers burst crackers to ward off wolves,"To combat wolf attacks that have claimed seven lives, Bahraich villagers in UP light up surroundings and burst firecrackers nightly. The forest department and police coordinate measures, including hourly patrols and high-mast lights. These safety precautions aim to deter wolves from attacking more residents, instilling a sense of security among the villagers.",City,Fake,0.4928417354822159,0.5071582496166229,0
20,Online post urges RG Kar-like 'rip' on Kolkata Police woman cop; FIR filed against 3,"Kolkata Police have registered an FIR against three YouTube users for threatening DC Indira Mukherjee with derogatory comments and disclosing the identity of a rape victim from RG Kar Medical College. This action came after Mukherjee's media briefing on the case, where she corrected misinformation about the crime scene and highlighted police efforts.",City,Fake,0.47815610468387604,0.5218438804149628,0
21,"47 tiger deaths in first 103 days this year, NTCA informs SC","India recorded 47 tiger deaths in the first 103 days of 2023, on top of 181 deaths last year, with Madhya Pradesh and Maharashtra seeing the most. According to the National Tiger Conservation Authority, many of these deaths are still being investigated. Stringent measures are being implemented nationwide to protect the tiger population.",India,Fake,0.49402035772800446,0.5059796124696732,0
22,‘Tankhaiya’: Akal Takht holds Badal guilty of religious misconduct,Five Sikh high priests have declared SAD president Sukhbir Singh Badal guilty of religious misconduct. Badal must seek forgiveness at the Akal Takht for actions during the SAD-BJP coalition government in Punjab from 2007 to 2017. He has accepted the directive and plans to appear before the Akal Takht. Other ministers from that period must also appear within 15 days.,City,Fake,0.497445672750473,0.5025543421506882,0
23,French retiree accused of recruiting over 50 strangers to rape his wife after drugging her,"A 71-year-old retiree from France faces trial in Avignon for allegedly coordinating the drugged rape of his wife by recruiting strangers online. Investigations revealed thousands of rape instances documented on his computer. The wife, unaware due to heavy sedation, discovered the abuse in 2020. Alongside him, 50 men face charges. The defendants claimed the acts were consensual, but the trial aims to establish their awareness of her condition. The trial is expected to run until December.",World,Fake,0.499137818813324,0.5008621364831924,0
24,NIT-Trichy student sexually harassed by worker,"A 38-year-old contractual worker at National Institute of Technology-Trichy (NIT-T) was arrested for sexually harassing a student. The incident sparked student protests against the handling and security lapses. Authorities have pledged to improve safety measures, and the hostel warden has apologized to the students. NIT-T aims to prevent such incidents in the future.",City,Real,0.5123758465051651,0.4876241385936737,0
