index_number,description,sentiment_labels,sentiment_scores,intensity_scores,clusters
1,You must login to keep earning daily check-in points,neutral,0.8633385300636292,0.11,0
2,,neutral,0.6808650493621826,0.13,0
3,Lifetime,neutral,0.7109432220458984,0.22,0
4,Expired,neutral,0.755279004573822,0.01,0
5,Redeemed,neutral,0.821963369846344,0.1,0
6,Total redeemable TimesPoints,positive,0.5763079524040222,0.55,-1
7,* TimesPoints expire in 1 year from the day of credit,neutral,0.9097102284431458,-0.0,0
8,,neutral,0.6808650493621826,0.13,0
9,"Regular exercise benefits health, yet determining the best time to work out depends on individual preferences and schedules. Morning sessions can enhance metabolism and mood, afternoon workouts improve performance, and evening exercise aids relaxation. Choose a consistent routine that aligns with personal energy levels and fitness goals for optimal results. ",positive,0.7142817974090576,0.7,2
10,Defending US Open champion Novak Djokovic kept his bid for a record 25th Grand Slam title on track on Wednesday after fellow Serb Laslo Djere retired injured while trailing 6-4 6-4 2-0 in their second-round match. Djokovic had needed five sets to get past Djere in the third round a year ago and it looked as though Arthur Ashe Stadium would see another epic clash between the two as Djere went up a break in the second set.,neutral,0.7826283574104309,0.2,0
11,"The New Delhi transport department is introducing a new system to simplify the payment of road challans. Violators will receive automated messages containing payment details through SMS and WhatsApp. Additionally, payments can be made via UPI apps such as Bhim and Google Pay, enhancing convenience and increasing governmental revenue. The system is expected to be launched soon.",positive,0.4977033138275146,0.49,1
12,"Japan will initiate a program in fiscal 2025 to support single women moving from Tokyo to rural areas for marriage. The program will cover travel expenses for matchmaking events and offer financial incentives for relocation. This aims to address the declining number of young women in rural areas, a key concern in Japan's demographic crisis.",neutral,0.8388418555259705,0.13,0
13,"Israel's large-scale military operation in the occupied West Bank caused 11 Palestinian fatalities, including militants and civilians. The United Nations and Palestinian health ministry reported disruptions to medical services. Amid ongoing Gaza conflict, international voices, including Jordan's monarchy, called for a ceasefire to halt the escalating violence. Israel targeted infrastructure and addressed security concerns, intensifying regional tensions.",negative,0.821409285068512,-0.81,0
14,"Sajeeb Wazed Joy, son of former Bangladesh Prime Minister Sheikh Hasina, called the death of journalist Rahanuma Sarah an attack on freedom of expression. Sarah, a Gazi TV newsroom editor, was found dead in Hatirjheel lake in Dhaka; initial police suspicion points to suicide, with further investigation pending to establish the cause of her death.",negative,0.576984167098999,-0.57,0
15,"Babar Azam is once again facing scrutiny after scoring 0 and 22 in the first Test against Bangladesh in Rawalpindi. The hosts lost the match on the final day by 10 wickets due to a dramatic batting collapse. Babar's continued poor form has drawn attention from both fans and critics, raising concerns about his performance.",negative,0.7841461896896362,-0.78,0
16,"A small boy broke a 3,500-year-old jar at an Israel museum. The jar, from the Bronze Age, was displayed without protective barriers, and the curious child, who went to see what was inside, pulled on it which led to the shattering of jar. The museum has enlisted a conservation specialist for restoration. Last year, an American tourist damaged Roman statues in Jerusalem, stating they were against his religious beliefs.",negative,0.529108464717865,-0.51,0
17,"Cristiano Ronaldo, at the age of 39, has set an ambitious goal of reaching 1,000 career goals, having already netted 899. In an interview with Rio Ferdinand, he expressed his relentless drive and competitive spirit. Ronaldo highlighted the verifiable nature of his goals, contrasting them with those of past legends. His determination remains undeterred.",positive,0.8131223320960999,0.81,3
18,"UK ministers plan to extend the indoor smoking ban to outdoor venues, including pub gardens and football stadiums. Prime Minister Keir Starmer, backed by Chris Whitty, believes the health benefits will outweigh the impact on the hospitality sector. Public consultation will determine the final decision. This move aims to contribute to the goal of a smoke-free England by 2030.",neutral,0.7303631901741028,0.24,0
19,"Heavy rainfall on Thursday morning led to severe waterlogging and traffic congestion in various parts of Delhi. Major routes like MB Road, Rohtak Road, and areas near Saket Metro Station were significantly affected. Commuters faced major delays as vehicles struggled through flooded streets, with some even breaking down, adding to the chaos.",negative,0.7938273549079895,-0.78,0
20,"India's left-arm spinner Radha Yadav found herself trapped in severe Vadodara flooding, rescued by the NDRF. She shared her ordeal on Instagram, showing footage of submerged areas. Irfan Pathan also advised residents to stay indoors. The India Meteorological Department predicts more heavy rains in the region, signaling that the crisis isn't over yet.",neutral,0.5644710063934326,-0.39,0
21,"During a rally in Erie, Pennsylvania, Ohio Senator JD Vance condemned the media for overstating an incident involving Donald Trump’s campaign at Arlington National Cemetery, asserting they had proper authorization. Vance also criticized Vice President Kamala Harris for her role in the U.S. military's withdrawal from Afghanistan, further intensifying the political discourse.",neutral,0.5330718159675598,-0.44,0
22,"Seventy residents of Ahmedabad's Madhumalti Housing Scheme were rescued after severe flooding submerged the area. Despite promises and significant investments since 2017, flooding persists. Efforts to divert stormwater to Singarva lake have failed due to the lake being overwhelmed. Authorities continue to search for lasting solutions while residents remain in distress.",negative,0.7502915263175964,-0.74,0
23,"India's National Sports Day, celebrated annually on August 29 since being established in 2012, honors hockey legend Major Dhyan Chand. It is also his birth anniversary. The day aims to highlight the value of sports and physical fitness, echoing the Indian government's initiatives to promote a healthier, more active lifestyle.",positive,0.9495726227760316,0.95,-1
24,"Defending champion Coco Gauff cleaned up early mistakes to beat unseeded German Tatjana Maria 6-4 6-0 in a lopsided second round meeting at the U.S. Open on Wednesday. The American beat Maria in Auckland last year and she held on to the blueprint, roaring back from an error-riddled first set to sweep through the second and close out the affair with a sublime backhand winner.",neutral,0.5896016955375671,0.4,0
25,"Ohio Senator JD Vance addressed a viral incident at a Valdosta, Georgia donut shop, where his campaign stop became awkward and heavily criticized online. Vance attributed the mishap to the clerk's nervousness due to the large presence of Secret Service agents and media. He also mentioned potential changes to his campaign strategy to prevent similar issues.",neutral,0.5980236530303955,-0.37,0
26,"Nvidia's latest quarterly report met or exceeded analyst expectations but failed to impress investors. Challenges in producing the new Blackwell chips led to a significant stock decline. Despite these hurdles, the company anticipates substantial revenue from Blackwell in the fourth quarter and continues to see high demand for its existing products. ",neutral,0.4790447354316711,-0.39,-1
27,"According to a WHO report, European teens' condom use has notably declined, raising the risk of STIs and unplanned pregnancies. The survey exposes significant drops in protected sex among teenagers and highlights socioeconomic disparities. WHO emphasizes comprehensive sexuality education and urges immediate government and health authority action to address these issues.",negative,0.5773091912269592,-0.56,0
28,"In a historic move, President Masoud Pezeshkian appointed Fatemeh Mohajerani as Iran's new government spokesperson, marking the first time a woman holds this position. Mohajerani, with a Doctorate in Business Administration, brings significant experience from previous roles in education and government. She joins other high-ranking women like Shina Ansari and Farzaneh Sadeq Malvajard.",positive,0.6392092704772949,0.63,2
29,"In Badlapur, the SIT examining the sexual assault of two nursery students discovered CCTV footage of the suspect. A separate FIR was filed based on the first victim's testimony to reinforce the case. The school had not acted on the parents' initial complaint. Teacher statements were also recorded as the investigation proceeded.",neutral,0.5607567429542542,-0.42,0
30,"Water supply to Bandra West, Khar West, and Khar Danda in Mumbai's H-West ward will be cut from 10 am to 12 pm on August 30. The interruption is due to works aimed at replacing an old water main pipeline with a new one between Ramdas Naik Marg and Road No. 32.",neutral,0.6765706539154053,-0.29,0
31,"Umran Malik's swift rise in the IPL led to an India call-up, but he hasn't played for the national team in over a year. Former bowling coach Paras Mhambrey attributes this to Malik's limited red-ball experience, emphasizing the necessity of First-Class cricket in developing a bowler's skills and endurance for sustained success in international cricket.",neutral,0.8724333643913269,0.01,0
32,"A scheduled call between President Joe Biden and President Xi Jinping is planned, following a meeting between US National Security Adviser Jake Sullivan and Chinese Foreign Minister Wang Yi. Issues such as Taiwan, military tensions, and trade policies were discussed, with a focus on maintaining peace and collaboration in climate change and illicit drug enforcement.",neutral,0.8953699469566345,0.09,0
33,"The FBI disclosed that Thomas Matthew Crooks, a 20-year-old from Pennsylvania, attempted to assassinate former US President Donald Trump during a rally in Butler. Engaging in detailed planning, Crooks targeted the rally as an opportune event. Trump was grazed by a bullet before Secret Service snipers neutralized the attacker with an AR-style rifle found on the scene.",negative,0.7170433402061462,-0.71,0
34,"On Thursday morning, heavy rainfall in Delhi resulted in significant waterlogging and traffic congestion across the city. Key areas such as Mehrauli-Badarpur Road and Dhaula Kuan were severely affected, with commuters battling through water-filled streets. The downpour followed a night of continuous rain, thunderstorms, and lightning in the National Capital Region, causing substantial disruption.",negative,0.7632153034210205,-0.75,0
35,"India is poised to commission its second nuclear-powered submarine, INS Arighat, equipped with nuclear-tipped ballistic missiles. This 112-meter vessel will fortify the nation's strategic deterrence by joining INS Arihant. Defence Minister Rajnath Singh will oversee the ceremony in Visakhapatnam. This move marks a pivotal advancement in India's maritime security framework.",neutral,0.5156511068344116,0.47,1
