Index,Title,Description,Area of News,Title_English
0,"भास्कर एक्सक्लूसिवकोलकाता रेप-मर्डर केस…आरोपी की वकील बोलीं- वो कुछ छिपा रहा: CCTV फुटेज गुनाह का पक्का सबूत नहीं, CBI सपोर्ट नहीं कर रही",,,"Brother Schauer's case of Excavor Remuder's lawyer saying something was hidden: CCTVECEEE doesn't prove perfect sin, CBI's support"
1,"भास्कर एक्सक्लूसिवकोलकाता रेप-मर्डर केस…आरोपी की वकील बोलीं- वो कुछ छिपा रहा: CCTV फुटेज गुनाह का पक्का सबूत नहीं, CBI सपोर्ट नहीं कर रही",,,"Brother Schauer's case of Excavor Remuder's lawyer saying something was hidden: CCTVECEEE doesn't prove perfect sin, CBI's support"
2,"केदारनाथ में एयरलिफ्ट किया जा रहा हेलिकॉप्टर गिरा: दूसरे हेलिकॉप्टर से लटकाया गया था, हवा में बैलेंस बिगड़ा तो पायलट ने ड्रॉप कर दिया",,,Airplane broke down in Krenth: The bull mangling in the air so the pilot let it drop.
3,"केदारनाथ में एयरलिफ्ट किया जा रहा हेलिकॉप्टर गिरा: दूसरे हेलिकॉप्टर से लटकाया गया था, हवा में बैलेंस बिगड़ा तो पायलट ने ड्रॉप कर दिया",,,Airplane broke down in Krenth: The bull mangling in the air so the pilot let it drop.
4,"भास्कर एक्सप्लेनर- मौलवी के पास शादी का रजिस्ट्रेशन जरूरी नहीं: असम का नया मुस्लिम मैरिज बिल क्या है, जिसका विरोध कर रहा मुस्लिम समुदाय",,,"Brother Barry Extravor Mullie doesn't have the wedding ceremony: What's the new Muslim paid tax, the community that was opposed by the Muslim community"
5,"भास्कर एक्सप्लेनर- मौलवी के पास शादी का रजिस्ट्रेशन जरूरी नहीं: असम का नया मुस्लिम मैरिज बिल क्या है, जिसका विरोध कर रहा मुस्लिम समुदाय",,,"Brother Barry Extravor Mullie doesn't have the wedding ceremony: What's the new Muslim paid tax, the community that was opposed by the Muslim community"
6,"कंगना बोलीं- मेरी फिल्म इमरजेंसी पर रोक: 6 सितंबर को रिलीज होनी थी; एक्ट्रेस बोलीं- सर्टिफिकेट नहीं मिला, सेंसर बोर्ड वालों को धमकियां मिल रहीं",,,"Ringa speaking-my film case was to be blocked on September 6: 6; antres speaking-not found, the sensors were receiving the twiress."
7,"देश का मानसून ट्रैकर: गुजरात में बाढ़, मानसून सीजन में औसत से 50% ज्यादा बारिश; हिमाचल में लैंडस्लाइड से 40 सड़कें बंद",,,"Country tracker: 50% greater than the average rain in the flood, Matoon Sea C.E.; 40 roads closed from ice level"
8,"ममता के दूसरे लेटर पर केंद्र का जवाब: रेप मामलों में फांसी का प्रावधान पहले से है, ममता ने कड़े कानून बनाने की मांग की थी",,,"The answer to the center on the second corner of the mother's arms: The hanging case is already in effect, the mother wanted to make firm law"
9,"स्पॉटलाइट- मोहम्मद बिन सलमान की कहानी: सऊदी क्राउन प्रिंस जिसने परिवार के लोगों को आलीशान होटल में कैद कर ‘टॉर्चर किया’, चर्चित किस्से",,,"Spotlight-sanca's story: Davidi Kraun, Prince who imprisoned family members at a high hotel, church story"
10,"एक्ट्रेस जिसने हथौड़े से बॉयफ्रेंड का सिर फोड़ा: पति के सामने ही प्रेमी की हत्या कर दी, अगले दिन खुद पुलिस स्टेशन पहुंची",,,"Antres who kicked the boyfriend's head from the hammer: Before the husband himself, the next day the police station arrived."
11,मॉर्निंग न्यूज ब्रीफ: महाराष्ट्र में मोदी बोले- मैं माफी मांगता हूं; ममता की मोदी को फिर चिट्ठी; एक UPI अकाउंट से 5 लोग पेमेंट कर सकेंगे,,,"Morning New York: In the Great Nation, Modi said, ""I apologize. I beg you, re-be to the Modi."
12,कोलकाता रेप-मर्डर; विरोध करने वाला छात्र रिहा: हाईकोर्ट बोला- गिरफ्तारी सही नहीं; बंगाल में केंद्र के खिलाफ TMC का प्रदर्शन आज,,,LAKE Rapider; student opposing: High-court speaking-out arrests; TMC displaying TMC against the center of Bengal today
13,"BCCI इम्पैक्ट प्लेयर, 2 बाउंसर नियमों का रिव्यू करेगा: दोनों नियम सिर्फ IPL में लागू, नवंबर से डोमेस्टिक क्रिकेट में भी लाने की तैयारी",,,"BCCIL player, 2 Bouncer rules: Both rules will only apply in IPL, ready to bring in Docopic cricket from November to November"
14,"एक UPI अकाउंट से 5 लोग कर सकेंगे पेमेंट: सरकार ने लॉन्च किया UPI सर्किल, इसमें एक महीने में ₹15,000 तक ट्रांजैक्शन की लिमिट",,,"A UPIL could be able to do 5 people: The government launched UPICK, in a month, to an average of $15,000 a month, the exception of the transdiduct."
15,"पतंजलि के मंजन में नॉनवेज मटेरियल होने का दावा: दिल्ली हाईकोर्ट में याचिका लगाई, कोर्ट ने रामदेव से जवाब मांगा",,,"Trilling to be noncoolable in Petrelia: Add or put a box at Delhi Highcot, court asked Ramadev to answer"
